"","Doses","E25","c0.1","c23.99","c24.1","c35.99","c36.1","c47.99","c48.1","c71.99","c72.1","E40","C0","C23.99","C24.1","C35.99","C36.1","C47.99","C48.1","C71.99","C72.1"
"21","6,0,0,0","0.527547720417483","13.9564082358046","2.81235695351512","2.80325860948048","1.83334173290141","1.8275602163896","1.21746850059943","1.21386930810016","0.603407579749036","0.602057728200374","0.989665109068935","16.8322401319237","2.8934118604765","2.87527445476324","1.22077576897641","1.21274174933845","0.507185947188325","0.503911454546143","0.116652526821283","0.11618140931199"
"22","6,4,4","0.527553818508954","13.9564082358046","2.81235695351512","2.80325860948048","1.83334173290141","11.1244703557245","3.81667402287177","3.80340012966196","1.59835620594088","10.8872694508649","0.989666767243246","16.8322401319237","2.8934118604765","2.87527445476324","1.22077576897641","12.412579348836","3.51862459823978","3.49218576236551","0.50217246784064","11.6889969300339"
"23","6,6,6","0.527790910034926","13.9564082358046","2.81235695351512","2.80325860948048","1.83334173290141","15.7729745714851","5.11629025602263","5.09817896228605","2.09583567487848","16.0298683187705","0.989803906953014","16.8322401319237","2.8934118604765","2.87527445476324","1.22077576897641","18.0125366115671","5.02436254827587","4.98634139707918","0.694934816952174","17.475400510622"
"24","6,3,0,0","0.555361442177777","13.9564082358046","2.81235695351512","9.77703146324373","3.83327310249061","3.8203019698498","2.46469455569541","2.45673122235588","1.11452376359842","1.11158930484997","0.998065815643428","16.8322401319237","2.8934118604765","11.2783139631554","3.68517527703495","3.659428760584","1.44791746516739","1.43778053320176","0.25215396854593","0.250762508164689"
"25","6,4,0,0","0.659515045919877","13.9564082358046","2.81235695351512","12.1016389463786","4.49992349943579","4.48455580443905","2.88044069834095","2.87102263698354","1.28489751924002","1.28143485285967","0.999798373638079","16.8322401319237","2.8934118604765","14.0793643816154","4.50666621561505","4.47501535805447","1.76150396806489","1.7490794882734","0.297322460720373","0.295624210254347"
"26","6,4,4,0","0.698854915979037","13.9564082358046","2.81235695351512","12.1016389463786","4.49992349943579","4.48455580443905","2.88044069834095","12.1667309851393","2.82390592450815","2.81474210304273","0.999813793406252","16.8322401319237","2.8934118604765","14.0793643816154","4.50666621561505","4.47501535805447","1.76150396806489","12.9453417967391","1.24822701587442","1.23885760864992"
"27","6,4,4,4","0.699466380565423","13.9564082358046","2.81235695351512","12.1016389463786","4.49992349943579","4.48455580443905","2.88044069834095","12.1667309851393","2.82390592450815","12.1084249039152","0.999813794607709","16.8322401319237","2.8934118604765","14.0793643816154","4.50666621561505","4.47501535805447","1.76150396806489","12.9453417967391","1.24822701587442","12.4290994448506"
"28","7,0,0,0","0.82813453190444","16.2824755464697","3.28109212710405","3.27047736325058","2.13890456672429","2.13215944560524","1.42038382260611","1.41618475315895","0.703977447405945","0.702402616273371","0.998877214151237","19.637596625549","3.37564100552787","3.3544807375043","1.42423579568941","1.41486278989525","0.591715857288283","0.5878956228491","0.136094365654667","0.135544729564524"
"29","7,4,0","0.828234588653609","16.2824755464697","3.28109212710405","3.27047736325058","2.13890456672429","11.4291055152389","4.01959809578225","4.00572429288208","1.69892941537424","1.69392556438769","0.99887969586954","19.637596625549","3.37564100552787","3.3544807375043","1.42423579568941","12.6147216771708","3.60316667667262","3.57618200534943","0.521615863658691","0.518120524921673"
"30","7,4,0,0","0.974008378805982","16.2824755464697","3.28109212710405","12.568817307336","4.80547314839305","4.78914189609134","3.08334779442159","3.07332988487657","1.38546401228116","1.38177637676118","0.999995585263097","19.637596625549","3.37564100552787","14.5585051287682","4.71009240043931","4.67710280013632","1.84602096293554","1.83305083557324","0.316762440405632","0.314985683994682"
"31","7,4,4,0","0.988710501566826","16.2824755464697","3.28109212710405","12.568817307336","4.80547314839305","4.78914189609134","3.08334779442159","12.3690719571158","2.92447748701301","2.91508867762074","0.999996176387254","19.637596625549","3.37564100552787","14.5585051287682","4.71009240043931","4.67710280013632","1.84602096293554","13.029336678331","1.26767148533788","1.25822353590149"
"32","7,4,4,4","0.988888223479693","16.2824755464697","3.28109212710405","12.568817307336","4.80547314839305","4.78914189609134","3.08334779442159","12.3690719571158","2.92447748701301","12.2087686394025","0.999996176437677","19.637596625549","3.37564100552787","14.5585051287682","4.71009240043931","4.67710280013632","1.84602096293554","13.029336678331","1.26767148533788","12.44845170065"
